info,ffh,mean,predicted,actual
"{'eval_step': 0, 'player_name': 'Llorente', 'player_position': 'Defender', 'player_id': '9ao7l82r1xd2rjnvv5u6plcr9', 'season': 2022, 'gameweek': 3}","{'points': 2.51787259428556, 'mins': 86.0, 'xg': 0.0323698380254118, 'xa': 0.0305702682352941, 'g90': 0.0338754118870588, 'a90': 0.0319921411764706, 'cs90': 0.0319921411764706, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.10000000149011612, 'npxg': 0.07899999618530273, 'npxg_fpl': 0.08500000089406967, 'big_chance_missed': 0.10000000149011612, 'big_chance_scored': 0.10000000149011612, 'on_target': 0.10000000149011612, 'goal_threat': 4.900000095367432}","{'npxg': 0.9896000027656555, 'prob_scoring': 0.8210681676864624, 'big_chance_missed': 2.130246639251709, 'big_chance_scored': 0.14233270287513733, 'on_target': 2.764402389526367, 'goal_threat': 0.22485527396202087}","{'goals': 0.0, 'npxg': 0.009999999776482582, 'npxg_fpl': 0.05000000074505806, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 4.0}"
"{'eval_step': 0, 'player_name': 'Struijk', 'player_position': 'Defender', 'player_id': 'b275i2lg3anqae5lv9gmrzmqx', 'season': 2022, 'gameweek': 3}","{'points': 2.40221444283384, 'mins': 90.0, 'xg': 0.0373326959435294, 'xa': 0.0159960705882353, 'g90': 0.0373326959435294, 'a90': 0.0159960705882353, 'cs90': 0.0159960705882353, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.0989999994635582, 'npxg_fpl': 0.1120000034570694, 'big_chance_missed': 0.20000000298023224, 'big_chance_scored': 0.0, 'on_target': 0.20000000298023224, 'goal_threat': 8.699999809265137}","{'npxg': 0.541126549243927, 'prob_scoring': 0.8009222745895386, 'big_chance_missed': 1.770374059677124, 'big_chance_scored': 1.4446934073930606e-05, 'on_target': 0.3140968084335327, 'goal_threat': 0.28386813402175903}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 0.0}"
"{'eval_step': 0, 'player_name': 'Koch', 'player_position': 'Defender', 'player_id': '1zumt9vkrqd8d3p3eqtwezi6t', 'season': 2022, 'gameweek': 3}","{'points': 2.32819635200539, 'mins': 88.0, 'xg': 0.0138513174437647, 'xa': 0.0156406023529412, 'g90': 0.0141661201129412, 'a90': 0.0159960705882353, 'cs90': 0.0159960705882353, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.039000000804662704, 'npxg_fpl': 0.04399999976158142, 'big_chance_missed': 0.10000000149011612, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 4.800000190734863}","{'npxg': 1.6521954536437988, 'prob_scoring': 0.86515873670578, 'big_chance_missed': 4.87507963180542, 'big_chance_scored': 0.0032142798881977797, 'on_target': 2.162834882736206, 'goal_threat': 0.249770849943161}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 0.0}"
"{'eval_step': 0, 'player_name': 'Meslier', 'player_position': 'Goalkeeper', 'player_id': '8szyip8c62bier901hmpqc7vt', 'season': 2022, 'gameweek': 3}","{'points': 3.28352284857852, 'mins': 90.0, 'xg': 0.0, 'xa': 0.0, 'g90': 0.0, 'a90': 0.0, 'cs90': 0.0, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 0.0}","{'npxg': 0.39129146933555603, 'prob_scoring': 0.15526777505874634, 'big_chance_missed': 0.6555947661399841, 'big_chance_scored': 0.22010162472724915, 'on_target': 1.1426341533660889, 'goal_threat': 0.22409695386886597}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 0.0}"
"{'eval_step': 0, 'player_name': 'James', 'player_position': 'Midfielder', 'player_id': 'dkwkmrmpb7rq4e660efcu5hat', 'season': 2022, 'gameweek': 3}","{'points': 1.79865138453302, 'mins': 57.0, 'xg': 0.0564180402859941, 'xa': 0.0675389647058824, 'g90': 0.0890811162410433, 'a90': 0.106640470588235, 'cs90': 0.106640470588235, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.20000000298023224, 'npxg': 0.20100000500679016, 'npxg_fpl': 0.2029999941587448, 'big_chance_missed': 0.20000000298023224, 'big_chance_scored': 0.10000000149011612, 'on_target': 0.6000000238418579, 'goal_threat': 19.600000381469727}","{'npxg': 0.4938840866088867, 'prob_scoring': 0.9928569793701172, 'big_chance_missed': 0.8914411664009094, 'big_chance_scored': 0.22616049647331238, 'on_target': 1.4146130084991455, 'goal_threat': 0.2674271762371063}","{'goals': 0.0, 'npxg': 0.009999999776482582, 'npxg_fpl': 0.029999999329447746, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 3.0}"
"{'eval_step': 0, 'player_name': 'Evans', 'player_position': 'Defender', 'player_id': '7o49rb7fgi2ml87up7hh2z0t1', 'season': 2022, 'gameweek': 3}","{'points': 3.63766830547994, 'mins': 86.0, 'xg': 0.0900119463779451, 'xa': 0.0676557728104575, 'g90': 0.0941985485350588, 'a90': 0.0708025529411765, 'cs90': 0.0708025529411765, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.10000000149011612, 'npxg': 0.04599999636411667, 'npxg_fpl': 0.04599999636411667, 'big_chance_missed': 0.0, 'big_chance_scored': 0.10000000149011612, 'on_target': 0.10000000149011612, 'goal_threat': 2.700000047683716}","{'npxg': 0.10655590146780014, 'prob_scoring': 0.06824076175689697, 'big_chance_missed': 0.0003400966234039515, 'big_chance_scored': 0.10887815803289413, 'on_target': 0.5950577855110168, 'goal_threat': 0.5873087644577026}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 0.0}"
"{'eval_step': 0, 'player_name': 'Dewsbury-Hall', 'player_position': 'Midfielder', 'player_id': '2bkp1lcaxmvwoanxwo0775cdl', 'season': 2022, 'gameweek': 3}","{'points': 3.45341373285487, 'mins': 85.0, 'xg': 0.0752277125, 'xa': 0.200607233333333, 'g90': 0.0796528720588235, 'a90': 0.212407658823529, 'cs90': 0.212407658823529, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.10000000149011612, 'npxg': 0.03999999910593033, 'npxg_fpl': 0.028999999165534973, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.20000000298023224, 'goal_threat': 7.599999904632568}","{'npxg': 0.6465901136398315, 'prob_scoring': 0.1527184247970581, 'big_chance_missed': 0.32276761531829834, 'big_chance_scored': 1.0656218528747559, 'on_target': 1.9437487125396729, 'goal_threat': 5.014245986938477}","{'goals': 0.0, 'npxg': 0.019999999552965164, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 10.0}"
"{'eval_step': 0, 'player_name': 'Ndidi', 'player_position': 'Midfielder', 'player_id': '6tma6gvgf6xphc5gm2el35vbp', 'season': 2022, 'gameweek': 3}","{'points': 2.95286939642422, 'mins': 90.0, 'xg': 0.0168400332042941, 'xa': 0.141605105882353, 'g90': 0.0168400332042941, 'a90': 0.141605105882353, 'cs90': 0.141605105882353, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.050999999046325684, 'npxg_fpl': 0.050999999046325684, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.30000001192092896, 'goal_threat': 7.5}","{'npxg': 0.3471624255180359, 'prob_scoring': 0.050028324127197266, 'big_chance_missed': 0.11611220985651016, 'big_chance_scored': 0.0569332018494606, 'on_target': 2.3796639442443848, 'goal_threat': 0.2850634455680847}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 2.0}"
"{'eval_step': 0, 'player_name': 'Barnes', 'player_position': 'Midfielder', 'player_id': '18paf5a7rfe4kutxjl4cwd695', 'season': 2022, 'gameweek': 3}","{'points': 5.73139585952462, 'mins': 76.0, 'xg': 0.494560726323322, 'xa': 0.20926087869281, 'g90': 0.58566401801446, 'a90': 0.247808935294118, 'cs90': 0.247808935294118, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.30000001192092896, 'npxg': 0.3019999861717224, 'npxg_fpl': 0.31099995970726013, 'big_chance_missed': 0.20000000298023224, 'big_chance_scored': 0.20000000298023224, 'on_target': 0.800000011920929, 'goal_threat': 42.900001525878906}","{'npxg': 0.3523120582103729, 'prob_scoring': 0.007931232452392578, 'big_chance_missed': 0.016860483214259148, 'big_chance_scored': 1.1278985738754272, 'on_target': 0.2203916311264038, 'goal_threat': 0.30348488688468933}","{'goals': 0.0, 'npxg': 0.05000000074505806, 'npxg_fpl': 0.14000000059604645, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 26.0}"
"{'eval_step': 0, 'player_name': 'Castagne', 'player_position': 'Defender', 'player_id': 'p87gxg8kc9ta6iipqt5fxmtx', 'season': 2022, 'gameweek': 3}","{'points': 4.15238884260849, 'mins': 85.0, 'xg': 0.0925200560133333, 'xa': 0.167172694444444, 'g90': 0.0979624122494118, 'a90': 0.177006382352941, 'cs90': 0.177006382352941, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.10000000149011612, 'npxg': 0.11400000005960464, 'npxg_fpl': 0.10999999940395355, 'big_chance_missed': 0.20000000298023224, 'big_chance_scored': 0.0, 'on_target': 0.30000001192092896, 'goal_threat': 9.699999809265137}","{'npxg': 1.0671147108078003, 'prob_scoring': 0.02743685245513916, 'big_chance_missed': 2.6353166103363037, 'big_chance_scored': 0.2431448996067047, 'on_target': 1.9737548828125, 'goal_threat': 2.5518980026245117}","{'goals': 0.0, 'npxg': 0.009999999776482582, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 4.0}"
"{'eval_step': 0, 'player_name': 'Maddison', 'player_position': 'Midfielder', 'player_id': 'a1yoz8f4985o166nzcyigpj2t', 'season': 2022, 'gameweek': 3}","{'points': 5.53843244269843, 'mins': 87.0, 'xg': 0.353313387568441, 'xa': 0.393544190098039, 'g90': 0.365496607829422, 'a90': 0.407114679411765, 'cs90': 0.407114679411765, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.6000000238418579, 'npxg': 0.27799999713897705, 'npxg_fpl': 0.27399998903274536, 'big_chance_missed': 0.0, 'big_chance_scored': 0.20000000298023224, 'on_target': 1.2000000476837158, 'goal_threat': 34.29999923706055}","{'npxg': 0.2659025192260742, 'prob_scoring': 0.31698858737945557, 'big_chance_missed': 0.15416701138019562, 'big_chance_scored': 0.20883961021900177, 'on_target': 1.1453533172607422, 'goal_threat': 9.57064151763916}","{'goals': 1.0, 'npxg': 0.1899999976158142, 'npxg_fpl': 0.07000000029802322, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 1.0, 'goal_threat': 29.0}"
"{'eval_step': 0, 'player_name': 'Justin', 'player_position': 'Defender', 'player_id': '6icypdqtfk2k81ax0i49j5xpl', 'season': 2022, 'gameweek': 3}","{'points': 4.23352406914761, 'mins': 90.0, 'xg': 0.114334086566, 'xa': 0.194707020588235, 'g90': 0.114334086566, 'a90': 0.194707020588235, 'cs90': 0.194707020588235, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.008999999612569809, 'npxg_fpl': 0.008999999612569809, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 4.599999904632568}","{'npxg': 0.3586423695087433, 'prob_scoring': 0.33929669857025146, 'big_chance_missed': 0.8562279343605042, 'big_chance_scored': 0.3033185303211212, 'on_target': 0.20575106143951416, 'goal_threat': 2.21511173248291}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 0.0}"
"{'eval_step': 0, 'player_name': 'Amartey', 'player_position': 'Defender', 'player_id': 'enyatxtjef9lacem6c8cc1mmt', 'season': 2022, 'gameweek': 3}","{'points': 3.51570661238963, 'mins': 84.0, 'xg': 0.106499028855827, 'xa': 0.033041191372549, 'g90': 0.114106102345529, 'a90': 0.0354012764705882, 'cs90': 0.0354012764705882, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0009999999310821295, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 0.6000000238418579}","{'npxg': 0.1056247428059578, 'prob_scoring': 4.476308822631836e-05, 'big_chance_missed': 0.003675817046314478, 'big_chance_scored': 0.19755242764949799, 'on_target': 0.3796965479850769, 'goal_threat': 0.5624420642852783}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 2.0}"
"{'eval_step': 0, 'player_name': 'Ward', 'player_position': 'Goalkeeper', 'player_id': '5h2biadv4hd2ntcd7zo2c8639', 'season': 2022, 'gameweek': 3}","{'points': 3.80271615600995, 'mins': 88.0, 'xg': 0.0, 'xa': 0.0, 'g90': 0.0, 'a90': 0.0, 'cs90': 0.0, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 0.0}","{'npxg': 0.3190232217311859, 'prob_scoring': 0.083018958568573, 'big_chance_missed': 0.293810099363327, 'big_chance_scored': 0.19049754738807678, 'on_target': 1.4174327850341797, 'goal_threat': 2.2367570400238037}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 0.0}"
"{'eval_step': 0, 'player_name': 'Antonio', 'player_position': 'Attacker', 'player_id': '3c7vnmec038bhz5rq36ywi2fp', 'season': 2022, 'gameweek': 3}","{'points': 3.14585618204118, 'mins': 68.0, 'xg': 0.197426320996325, 'xa': 0.131906955555556, 'g90': 0.261299542495137, 'a90': 0.174582735294118, 'cs90': 0.174582735294118, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.10000000149011612, 'npxg': 0.2709999978542328, 'npxg_fpl': 0.27000001072883606, 'big_chance_missed': 0.4000000059604645, 'big_chance_scored': 0.0, 'on_target': 0.800000011920929, 'goal_threat': 28.399999618530273}","{'npxg': 1.0872400999069214, 'prob_scoring': 0.531319260597229, 'big_chance_missed': 1.0987728834152222, 'big_chance_scored': 0.7275453805923462, 'on_target': 4.261925220489502, 'goal_threat': 17.891340255737305}","{'goals': 0.0, 'npxg': 0.009999999776482582, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 6.0}"
"{'eval_step': 0, 'player_name': 'Coufal', 'player_position': 'Defender', 'player_id': '4ryipy52oscxkv71ws0os5w5', 'season': 2022, 'gameweek': 3}","{'points': 3.57792210133454, 'mins': 88.0, 'xg': 0.0359193502903529, 'xa': 0.145097651111111, 'g90': 0.0367356991605882, 'a90': 0.148395325, 'cs90': 0.148395325, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.003999999724328518, 'npxg_fpl': 0.010999999940395355, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 2.299999952316284}","{'npxg': 0.4819442927837372, 'prob_scoring': 0.077725350856781, 'big_chance_missed': 1.259200096130371, 'big_chance_scored': 0.4292812645435333, 'on_target': 0.009639659896492958, 'goal_threat': 1.2846059799194336}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 0.0}"
